"","stockid","stocklong","year","UdivUmsypref","tac_year"
"1","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1975,0.170691,0
"2","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1976,0.377781,0
"3","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1977,0.331495,0
"4","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1978,0.294595,0
"5","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1979,0.393567,0
"6","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1980,0.312253,0
"7","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1981,0.265615,0
"8","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1982,0.294808,0
"9","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1983,0.283761,0
"10","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1984,0.280172,0
"11","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1985,0.204999,0
"12","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1986,0.307442,0
"13","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1987,0.351131,0
"14","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1988,0.390675,0
"15","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1989,0.426916,0
"16","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1990,0.35101,0
"17","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1991,0.438864,0
"18","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1992,0.424807,0
"19","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1993,0.412561,0
"20","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1994,0.534291,0
"21","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1995,0.657719,0
"22","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1996,0.938122,0
"23","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1997,0.849262,0
"24","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1998,1.07129,0
"25","BIGEYEEPAC","Bigeye tuna Eastern Pacific",1999,0.677727,0
"26","BIGEYEEPAC","Bigeye tuna Eastern Pacific",2000,1.2267,0
"27","BIGEYEEPAC","Bigeye tuna Eastern Pacific",2001,0.834666,0
"28","BIGEYEEPAC","Bigeye tuna Eastern Pacific",2002,1.17893,0
"29","BIGEYEEPAC","Bigeye tuna Eastern Pacific",2003,0.860879,0
"30","BIGEYEEPAC","Bigeye tuna Eastern Pacific",2004,0.848144,0
"31","BIGEYEEPAC","Bigeye tuna Eastern Pacific",2005,0.886431,0
"32","BIGEYEEPAC","Bigeye tuna Eastern Pacific",2006,1.05009,0
"33","BIGEYEEPAC","Bigeye tuna Eastern Pacific",2007,0.824796,0
"34","BIGEYEEPAC","Bigeye tuna Eastern Pacific",2008,0.841494,0
"35","BIGEYEEPAC","Bigeye tuna Eastern Pacific",2009,0.738882,0
"36","BIGEYEEPAC","Bigeye tuna Eastern Pacific",2010,0.960936,0
"37","BIGEYEEPAC","Bigeye tuna Eastern Pacific",2011,0.912821,0
"38","BIGEYEEPAC","Bigeye tuna Eastern Pacific",2012,1.00859,0
"39","BLSHARNATL","Blue shark Northern Atlantic",1957,0.0034,0
"40","BLSHARNATL","Blue shark Northern Atlantic",1958,0.0074,0
"41","BLSHARNATL","Blue shark Northern Atlantic",1959,0.0107,0
"42","BLSHARNATL","Blue shark Northern Atlantic",1960,0.011,0
"43","BLSHARNATL","Blue shark Northern Atlantic",1961,0.0117,0
"44","BLSHARNATL","Blue shark Northern Atlantic",1962,0.0264,0
"45","BLSHARNATL","Blue shark Northern Atlantic",1963,0.0316,0
"46","BLSHARNATL","Blue shark Northern Atlantic",1964,0.0462,0
"47","BLSHARNATL","Blue shark Northern Atlantic",1965,0.0455,0
"48","BLSHARNATL","Blue shark Northern Atlantic",1966,0.0355,0
